termo_codigo,termo,definicao_operacional,uso_pedagogico_permitido,uso_indevido_evitar,conceitos_relacionados,fonte_base,niveis_aplicaveis,status
GL013,Evidência,"Registro que dá suporte verificável a uma afirmação, como fotografia, mapa, documento, dado oficial ou observação registrada.","Identificar tipo, origem, data e limite probatório.","Tratar registro isolado como prova suficiente para toda conclusão.",fonte;dado;observação cidadã,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL014,Fonte,"Origem identificável de informação ou evidência necessária para avaliar autoria, atualidade, método e confiabilidade.","Registrar instituição ou produtor, data e referência quando disponíveis.","Usar informação sem origem rastreável em produto institucional.",evidência;dado;indicador,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL015,Dado,"Registro estruturado de fato, medida, categoria ou informação que pode ser armazenado, comparado e analisado.","Usar acompanhado de fonte, unidade, período e escala.","Interpretar número sem contexto metodológico.",indicador;fonte;escala,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL016,Indicador,"Medida construída para representar determinado aspecto de uma realidade segundo metodologia definida.","Usar com nome, metodologia, período e escala territorial.","Inferir condição de bairro ou escola a partir de indicador exclusivamente municipal.",dado;IDSC-BR;escala,OCUE_ONTOLOGIA,N2;N3,VERIFICADO_ESTRUTURAL
GL017,Mapa,"Representação espacial seletiva de informações sobre determinado território, produzida segundo escala, símbolos, fonte e finalidade.","Usar com título, legenda, referência espacial e fonte.","Confundir mapa com o território real ou omitir escala e origem dos dados.",escala;território;evidência,BNCC;OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL018,Escala,"Nível ou recorte geográfico em que uma informação é produzida, observada ou interpretada.","Distinguir Brasil, município, bairro, entorno escolar e ponto observado.","Transferir automaticamente resultado de uma escala para outra.",território;mapa;indicador,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL019,Saneamento urbano,"Serviços e infraestruturas relacionados a água, esgotamento, resíduos e drenagem, trabalhados no OCUE pela ótica territorial e de qualidade de vida.","Investigar sistemas urbanos e seus efeitos observáveis.","Atribuir causa técnica de falha sem fonte competente.",cidade sustentável;drenagem;resíduos,EC_ART2;OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL020,Mobilidade urbana,"Condições, meios e relações de deslocamento de pessoas e bens no espaço urbano.","Observar percursos, segurança, conectividade e acesso.","Reduzir mobilidade ao trânsito de automóveis.",acessibilidade;território;cidade sustentável,EC_ART2;OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL021,Acessibilidade,"Condição que favorece utilização segura e autônoma de espaços, serviços e deslocamentos por pessoas com diferentes necessidades.","Identificar barreiras de maneira respeitosa e propor inclusão.","Diagnosticar deficiência individual ou reduzir acessibilidade a rampas.",mobilidade urbana;inclusão territorial;barreira,OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL022,Drenagem urbana,"Sistema e processos de manejo das águas pluviais no território urbano relacionados a escoamento, impermeabilização e risco de alagamento.","Mapear ocorrências e relacionar com fontes técnicas quando disponíveis.","Afirmar causa hidráulica de alagamento apenas por observação visual.",saneamento urbano;risco urbano;clima,OCUE_CATALOGO_TEMAS,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL023,Resíduos urbanos,"Materiais descartados nas atividades urbanas cujo manejo envolve geração, acondicionamento, coleta e destinação.","Conectar hábitos, serviço público, limpeza e consumo responsável.","Atribuir responsabilidade exclusiva ao indivíduo ou exclusivamente ao poder público.",saneamento urbano;consumo responsável;cidade sustentável,OCUE_CATALOGO_TEMAS;OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL024,Espaço público,"Espaço de uso coletivo submetido a regras de convivência e gestão pública, como ruas, praças e parques, conforme o contexto.","Observar acesso, uso, conservação e convivência.","Presumir domínio público apenas pela aparência física do local.",bem comum;participação social;território,OCUE_CATALOGO_DD,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL025,Desigualdade territorial,"Diferença espacial relevante na distribuição de infraestrutura, oportunidades, riscos, serviços ou condições urbanas entre territórios ou grupos.","Usar comparação baseada em evidências e recortes explícitos.","Estigmatizar comunidades ou inferir causas sem dados suficientes.",escala;inclusão;território,OCUE_ONTOLOGIA;OCUE_CATALOGO_TEMAS,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL026,Segregação socioespacial,"Processo de separação ou concentração espacial de grupos e oportunidades associado a desigualdades sociais e urbanas.","Usar principalmente em N2 e N3 com dados comparativos.","Rotular área ou população com base em impressão subjetiva.",desigualdade territorial;território;planejamento urbano,OCUE_ONTOLOGIA;BNCC,N2;N3,VERIFICADO_ESTRUTURAL
GL027,Risco urbano,"Possibilidade de dano relacionada à interação entre ameaça, exposição e condições de vulnerabilidade em contexto urbano.","Usar pedagogicamente para prevenção e leitura territorial buscando fonte técnica quando houver.","Classificar oficialmente área de risco sem estudo ou autoridade competente.",resiliência;drenagem urbana;território,OCUE_ONTOLOGIA,N2;N3,VERIFICADO_ESTRUTURAL
GL028,Resiliência urbana,"Capacidade de território, comunidade e sistemas urbanos de prevenir, absorver, adaptar-se e recuperar-se diante de impactos.","Discutir prevenção, adaptação e acompanhamento de respostas.","Transferir responsabilidade pública para moradores sob o rótulo de resiliência.",risco urbano;planejamento urbano;clima,OCUE_ONTOLOGIA,N2;N3,VERIFICADO_ESTRUTURAL
GL029,Política urbana,"Conjunto de diretrizes, instrumentos e ações voltados ao desenvolvimento urbano e ao ordenamento das funções sociais da cidade.","Conectar Constituição, Estatuto da Cidade e decisões municipais.","Confundir política urbana com política partidária.",planejamento urbano;plano diretor;função social da cidade,CF88_ART182;EC_ART2,N2;N3,VERIFICADO_ESTRUTURAL
GL030,Planejamento urbano,"Processo de organizar objetivos, regras, informações, decisões e ações sobre desenvolvimento e ordenamento da cidade.","Analisar escolhas públicas e seus efeitos territoriais.","Apresentar planejamento como atividade exclusivamente técnica e sem participação social.",política urbana;plano diretor;governança,EC_ART2;OCUE_ONTOLOGIA,N2;N3,VERIFICADO_ESTRUTURAL
GL031,Plano diretor,"Instrumento básico da política de desenvolvimento e expansão urbana, aprovado por lei municipal, nos termos constitucionais e legais aplicáveis.","Introduzir como o município expressa diretrizes fundamentais de ordenação.","Afirmar conteúdo de plano diretor municipal sem consultar a lei vigente correspondente.",planejamento urbano;função social da propriedade urbana;município,CF88_ART182;EC,N2;N3,VERIFICADO_ESTRUTURAL
GL032,Governança urbana,"Forma pela qual instituições, regras, informações, responsabilidades e atores se articulam na tomada, execução e acompanhamento de decisões urbanas.","Mapear quem decide, quem executa, quem participa e como se acompanha.","Presumir competência de órgão apenas pelo nome.",participação social;controle social;política urbana,EC_ART2;OCUE_ONTOLOGIA,N2;N3,VERIFICADO_ESTRUTURAL
GL033,Participação social,"Atuação de pessoas e grupos em canais e processos públicos de informação, consulta, proposição, deliberação ou acompanhamento.","Aplicar de modo guiado, respeitoso e adequado à faixa etária.","Expor estudantes, coletar dados pessoais desnecessários ou simular autoridade institucional.",cidadania;governança urbana;controle social,EC_ART2;BNCC;OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL034,Controle social,"Acompanhamento cidadão de ações, decisões e resultados públicos por meios democráticos e institucionais.","Ensinar acompanhamento de protocolos, planos, serviços e respostas.","Confundir controle social com fiscalização coercitiva exercida por estudante.",participação social;governança urbana;acompanhamento,OCUE_ONTOLOGIA;BNCC,N2;N3,VERIFICADO_ESTRUTURAL
GL035,Protocolo cidadão,"Registro formal ou rastreável de solicitação, proposta, informação ou manifestação encaminhada a canal competente.","Usar em simulação ou situação real autorizada para criar trilha de acompanhamento.","Protocolar em nome da escola ou de estudante sem autorização e governança definidas.",participação social;acompanhamento;evidência,OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL036,Acompanhamento,"Etapa de registrar o que ocorreu depois de uma proposta ou participação, incluindo resposta, prazo, resultado ou pendência.","Fechar o Ciclo de Cidadania Urbana com evidência temporal.","Considerar ausência de resposta como prova automática de omissão ilegal.",protocolo cidadão;controle social;evidência,OCUE_CICLO,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL037,ODS,"Objetivos de Desenvolvimento Sustentável da Agenda 2030 usados no OCUE como taxonomia transversal de relação temática.","Usar quando houver justificativa explícita entre problema, tema e objetivo.","Marcar ODS por associação automática ou apenas para aumentar cobertura.",cidade sustentável;indicador;IDSC-BR,ONU_AGENDA2030;OCUE_ONTOLOGIA,N1;N2;N3,VERIFICADO_ESTRUTURAL
GL038,IDSC-BR,"Índice municipal que sintetiza desempenho de municípios brasileiros em relação aos ODS segundo metodologia própria e dados de referência.","Usar como camada municipal comparativa e contextual.","Inferir condição de bairro, escola ou ponto observado a partir da média municipal.",indicador;ODS;escala,IDSC_METODOLOGIA;OCUE_ONTOLOGIA,N2;N3,VERIFICADO_ESTRUTURAL
