linha_id,artefato_id,unidade_id,objetivo_aprendizagem,competencia_geral_bncc,competencia_especifica_bncc,habilidade_bncc,habilidade_rede_codigo,habilidade_rede_descricao,objeto_conhecimento_conteudo,tct_macroarea,tct_tema,diretriz_edh,diretriz_educacao_ambiental,ods_codigo,tema_ocue_codigo,etapa_ciclo,contexto_territorial,atividade_estudante,evidencia_aprendizagem,instrumento_avaliacao,criterio_avaliacao,justificativa_alinhamento,fonte_curricular,url_fonte,data_verificacao,status_validacao
N2-E3,DDC_CP_V1,E3,"Interpretar e produzir mapas e dados avaliando fonte, escala e padrões espaciais.","CG2;CG5","Geografia EF","EF07GE09;EF07GE10;EF08GE18;EF09GE14",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Mapas temáticos, gráficos, croquis, ordenamento territorial","Ciência e Tecnologia","Ciência e tecnologia","EDH_TRANSVERSAL",NA,"4;9;10;11","CONECTIVIDADE_INOVACAO;DESIGUALDADES_TERRITORIAIS","OBSERVAR;MAPEAR;CLASSIFICAR","município/região/Brasil","produção de mapa temático e gráfico","painel de evidências","rubrica de letramento de dados","fonte, escala, legenda e interpretação coerentes","Habilidades explicitam elaboração e interpretação de mapas/gráficos, inclusive digitais.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E4,DDC_CP_V1,E4,"Analisar infraestrutura e ambiente relacionando água, clima, urbanização, condições de vida e usos do solo.","CG1;CG2;CG10","Geografia EF","EF06GE04;EF06GE12;EF06GE13;EF08GE16",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Água, transformações urbanas, clima e problemáticas das cidades","Meio Ambiente;Saúde","Educação ambiental; saúde","EDH_TRANSVERSAL","EA_INTEGRADA","3;6;11;12;13;15","AGUA_ESGOTO;DRENAGEM_ALAGAMENTOS;RISCOS_CLIMA;MEIO_AMBIENTE_AREAS_VERDES;RESIDUOS_LIMPEZA","OBSERVAR;MAPEAR;CLASSIFICAR","entorno, município e cidades comparadas","mapa de sistemas e impactos","síntese diagnóstica cidadã","rubrica sistêmica","distingue componente, impacto e evidência","As habilidades conectam ciclo da água, ambientes urbanos, clima e condições de vida.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E5,DDC_CP_V1,E5,"Analisar desigualdades, segregação, barreiras e riscos identificando distribuição territorial e grupos afetados.","CG2;CG7;CG9","Geografia EF","EF07GE04;EF08GE16;EF08GE17;EF08GE20",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Distribuição populacional, cidades, segregação e desigualdades","Cidadania e Civismo","Educação em direitos humanos","EDH_EQUIDADE",EA_QUANDO_APLICAVEL,"1;5;10;11;13","DESIGUALDADES_TERRITORIAIS;RISCOS_CLIMA;MOBILIDADE_ACESSIBILIDADE;HABITACAO_REURB","MAPEAR;CLASSIFICAR;PROPOR","bairro/município/cidades latino-americanas","matriz território-impacto-grupo","mapa e análise comparativa","rubrica de justiça territorial","identifica padrão espacial e grupo afetado sem estigmatização","As habilidades permitem analisar distribuição, condições de vida e segregação socioespacial.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E6,DDC_CP_V1,E6,"Relacionar questão urbana, agente, política e ordenamento territorial em nível introdutório.","CG1;CG7;CG10","Geografia EF","EF07GE07;EF08GE18",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Redes territoriais, ordenamento territorial e usos do solo","Cidadania e Civismo","Educação fiscal; educação em direitos humanos","EDH_CIDADANIA",NA,"11;16;17","USO_OCUPACAO_SOLO;GOVERNANCA_PARTICIPACAO;EQUIPAMENTOS_SERVICOS","CONHECER;CLASSIFICAR;PROPOR","município e região","matriz problema-agente-instrumento","quadro de governança","rubrica de competência institucional","diferencia atribuição, política e execução","As habilidades dão suporte territorial; a dimensão institucional é aprofundada pelo TCT e pelo adaptador da rede.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E7,DDC_CP_V1,E7,"Argumentar com evidências, formular proposta e selecionar canal de participação adequado.","CG7;CG9;CG10","Ciências Humanas EF","EF07GE03;EF07GE09",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Territorialidades, direitos, mapas e argumentação baseada em evidência","Cidadania e Civismo","Educação em direitos humanos","EDH_CIDADANIA",NA,"11;16;17","GOVERNANCA_PARTICIPACAO","PROPOR;PARTICIPAR;ACOMPANHAR","escola e município","proposta argumentada e simulação/encaminhamento","protocolo e registro de acompanhamento","rubrica de argumentação cidadã","evidência suficiente, canal pertinente e linguagem respeitosa","O eixo integra territorialidade/direitos e leitura de evidências; gêneros públicos serão mapeados no adaptador interdisciplinar.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N2-E8,DDC_CP_V1,E8,"Executar investigação territorial escolar com mapa, evidências, classificação, proposta e acompanhamento.","CG1;CG2;CG5;CG7;CG9;CG10","Ciências Humanas EF","EF06GE07;EF07GE09;EF08GE17;EF08GE18;EF09GE14",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Cidade, cartografia, segregação e dados territoriais","Cidadania e Civismo;Meio Ambiente;Ciência e Tecnologia","Educação em direitos humanos; educação ambiental","EDH_TRANSVERSAL","EA_INTEGRADA","4;10;11;16;17","GOVERNANCA_PARTICIPACAO;CONECTIVIDADE_INOVACAO","CONHECER;OBSERVAR;MAPEAR;CLASSIFICAR;PROPOR;PARTICIPAR;ACOMPANHAR","território escolar","projeto investigativo","Dossiê Territorial Escolar","rubrica integradora","coerência metodológica e rastreabilidade","Integra habilidades de cidade, cartografia, desigualdade e representação territorial.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E1,DDC_CP_V1,E1,"Problematizar produção do espaço e territorialidades articulando agentes, poder, economia, cultura e ambiente.","CG1;CG2;CG7","CHS EM","EM13CHS101;EM13CHS203;EM13CHS204;EM13CHS205;EM13CHS206",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Tempo, espaço, territórios, territorialidades e agentes","Cidadania e Civismo","Educação em direitos humanos","EDH_TRANSVERSAL",NA,"8;10;11","USO_OCUPACAO_SOLO;ECONOMIA_TRABALHO_LOCAL;PATRIMONIO_PAISAGEM","CONHECER;OBSERVAR","local ao global","ensaio cartográfico interpretativo","mapa + análise","rubrica de análise territorial","relaciona múltiplos agentes e escalas","As habilidades tratam fontes, território, ocupação e produção do espaço.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E2,DDC_CP_V1,E2,"Fundamentar análise de direitos urbanos, cidadania e justiça territorial em situações concretas.","CG7;CG9;CG10","CHS EM","EM13CHS501;EM13CHS502;EM13CHS603;EM13CHS605",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Ética, cidadania, Estado e Direitos Humanos","Cidadania e Civismo","Educação em direitos humanos","EDH_DIREITOS_HUMANOS",NA,"10;11;16","HABITACAO_REURB;GOVERNANCA_PARTICIPACAO;DESIGUALDADES_TERRITORIAIS","CONHECER;CLASSIFICAR","território e sociedade brasileira","estudo de caso jurídico-pedagógico","nota analítica cidadã","rubrica de fundamentação","distingue fundamento normativo, evidência e opinião","As habilidades abordam ética, cidadania, conceitos políticos, Direitos Humanos e ações diante de desigualdades.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E3,DDC_CP_V1,E3,"Triangular fontes qualitativas e quantitativas, cartografia e dados oficiais explicitando limites e incerteza.","CG2;CG5;CG7","CHS EM","EM13CHS103;EM13CHS106;EM13CHS606",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Evidências, dados, cartografia, tecnologias e sociedade brasileira","Ciência e Tecnologia","Ciência e tecnologia","EDH_TRANSVERSAL",NA,"4;10;11;16;17","CONECTIVIDADE_INOVACAO;DESIGUALDADES_TERRITORIAIS","OBSERVAR;MAPEAR;CLASSIFICAR","município/estado/Brasil","triangulação de fontes","matriz de evidências e confiabilidade","rubrica de evidência","identifica fonte, escala, divergência e limite","Habilidades exigem sistematização de dados, linguagem cartográfica e análise documental para proposição.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E4,DDC_CP_V1,E4,"Analisar sistemas urbanos e impactos socioambientais distinguindo causas, atores e alternativas.","CG1;CG2;CG10","CHS EM","EM13CHS301;EM13CHS304;EM13CHS305",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Produção, consumo, impactos socioambientais, regulação e fiscalização","Meio Ambiente;Saúde","Educação ambiental; educação para o consumo","EDH_TRANSVERSAL","EA_INTEGRADA","3;6;7;11;12;13;15","AGUA_ESGOTO;DRENAGEM_ALAGAMENTOS;RESIDUOS_LIMPEZA;MEIO_AMBIENTE_AREAS_VERDES;ENERGIA_ILUMINACAO","OBSERVAR;MAPEAR;CLASSIFICAR","territórios urbanos","análise de sistema urbano","diagnóstico cidadão multitemático","rubrica sistêmica","distingue impacto, ator, competência e alternativa","As habilidades articulam resíduos, práticas socioambientais e competências de regulação/fiscalização.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E5,DDC_CP_V1,E5,"Argumentar sobre desigualdade, acessibilidade, risco e justiça territorial com dados e Direitos Humanos.","CG2;CG7;CG9","CHS EM","EM13CHS402;EM13CHS502;EM13CHS605;EM13CHS606",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Desigualdade socioeconômica, Direitos Humanos e análise da sociedade brasileira","Cidadania e Civismo","Educação em direitos humanos","EDH_EQUIDADE",EA_QUANDO_APLICAVEL,"1;5;10;11;13","DESIGUALDADES_TERRITORIAIS;RISCOS_CLIMA;MOBILIDADE_ACESSIBILIDADE;HABITACAO_REURB","MAPEAR;CLASSIFICAR;PROPOR","município e Brasil","mapa de desigualdade + argumento","argumento público com evidência","rubrica de justiça territorial","dados e direitos sustentam a proposição sem estigmatização","As habilidades tratam indicadores de desigualdade, situações cotidianas, Direitos Humanos e propostas de enfrentamento.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E6,DDC_CP_V1,E6,"Avaliar planejamento, políticas e governança distinguindo competência legal, decisão e execução.","CG1;CG7;CG10","CHS EM","EM13CHS204;EM13CHS206;EM13CHS603;EM13CHS606",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Agentes territoriais, Estado, cidadania, dados e proposição","Cidadania e Civismo","Educação fiscal; educação em direitos humanos","EDH_CIDADANIA",NA,"11;16;17","USO_OCUPACAO_SOLO;GOVERNANCA_PARTICIPACAO;EQUIPAMENTOS_SERVICOS","CONHECER;CLASSIFICAR;PROPOR","município","leitura guiada de política/plano/documento público","matriz política-evidência-resultado","rubrica de governança","diferencia norma, competência, política, execução e resultado","As habilidades permitem analisar agentes territoriais, Estado, cidadania e propor medidas com base em documentos.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E7,DDC_CP_V1,E7,"Construir estratégia de participação e controle social baseada em evidências, competência e pluralidade.","CG7;CG9;CG10","CHS EM","EM13CHS103;EM13CHS603;EM13CHS605;EM13CHS606",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Argumentação, cidadania, Direitos Humanos e proposição de medidas","Cidadania e Civismo","Educação em direitos humanos","EDH_CIDADANIA",NA,"11;16;17","GOVERNANCA_PARTICIPACAO;CONECTIVIDADE_INOVACAO","PROPOR;PARTICIPAR;ACOMPANHAR","escola/município","plano de participação","estratégia de participação + protocolo","rubrica de participação","canal, destinatário e argumento são coerentes e respeitosos","Combina evidência, cidadania, ação diante de desigualdades e proposição de medidas.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
N3-E8,DDC_CP_V1,E8,"Desenvolver Projeto Cidadão Urbano completo e avaliar seus desdobramentos.","CG1;CG2;CG5;CG7;CG9;CG10","CHS EM","EM13CHS103;EM13CHS106;EM13CHS205;EM13CHS301;EM13CHS605;EM13CHS606",PENDENTE_ADAPTADOR_REDE,PENDENTE_ADAPTADOR_REDE,"Pesquisa, território, sustentabilidade, direitos e proposição","Cidadania e Civismo;Meio Ambiente;Ciência e Tecnologia","Educação em direitos humanos; educação ambiental","EDH_TRANSVERSAL","EA_INTEGRADA","4;10;11;16;17","GOVERNANCA_PARTICIPACAO;CONECTIVIDADE_INOVACAO","CONHECER;OBSERVAR;MAPEAR;CLASSIFICAR;PROPOR;PARTICIPAR;ACOMPANHAR","território definido pelo projeto","pesquisa-intervenção pedagógica","Projeto Cidadão Urbano + relatório OCUE","rubrica integradora","rastreabilidade, coerência, segurança, ética e reflexão","Integra pesquisa por evidências, linguagem cartográfica, territorialidade, sustentabilidade, Direitos Humanos e proposição.",BNCC,"https://basenacionalcomum.mec.gov.br/images/BNCC_EI_EF_110518_versaofinal_site.pdf",2026-08-26,BNCC_VERIFICADA_REDE_PENDENTE
