mapping_id,nivel,eixo_codigo,ano_escolar,trimestre,componente,habilidade_crmg_codigo,resumo_semantico,forca_relacao,fonte_documento,fonte_url,data_verificacao,status
MG019,N2,E5,8EF,2,Geografia,EF08GE20,"aspectos urbanos, políticos e econômicos, desigualdades e pressões ambientais",COMPLEMENTAR,"Plano de Curso Geografia 8º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/13WC6KItt_gY5wlopJwk0r4cPhO0PhZzq/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG020,N2,E6,7EF,1,Geografia,EF07GE01,"Estado, organização territorial e poderes Executivo, Legislativo e Judiciário",FORTE,"Plano de Curso Geografia 7º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1I61tGfBroXRYiaktf9wDh4lfq2ZO8xPz/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG021,N2,E7,7EF,1,Geografia,EF07GE01,"estrutura do Estado como base para identificar competência institucional e participação",COMPLEMENTAR,"Plano de Curso Geografia 7º Ano 2026 - 1º trimestre","https://drive.google.com/file/d/1I61tGfBroXRYiaktf9wDh4lfq2ZO8xPz/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG022,N2,E8,9EF,2,Geografia,EF09GE14;EF09GE15,"produção, síntese e comunicação de evidências territoriais por mapas e dados",INTEGRADORA,"Plano de Curso Geografia 9º Ano 2026 - 2º trimestre","https://drive.google.com/file/d/1qUUUgm7QfryC26Lgak5yIaQI5xQ8UqV8/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG023,N3,E1,1EM,1,Geografia,EM13CHS101,"análise de fontes e processos geográficos, políticos, econômicos, sociais, ambientais e culturais",FORTE,"Plano de Curso Geografia 1º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1s-ficwgJifek1kDLsgCqMdN1kIBE1sjS/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG024,N3,E1,1EM,1,Geografia,EM13CHS102,"organização da vida coletiva, cidade, urbano e usos do território",FORTE,"Plano de Curso Geografia 1º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1s-ficwgJifek1kDLsgCqMdN1kIBE1sjS/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG025,N3,E2,2EM,1,Geografia,EM13CHS605,"Direitos Humanos, desigualdade, vulnerabilidade territorial e proposição de ações concretas",FORTE,"Plano de Curso Geografia 2º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1gI1PRGixv47Qza5gzwqP1_zB_v9bBCbP/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG026,N3,E2,3EM,1,Geografia,EM13CHS502,"desigualdade, Direitos Humanos e segregação socioespacial com diferenças de infraestrutura",FORTE,"Plano de Curso Geografia 3º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1qcug3eXGDJuYOgjsn3SlUXB1qwlHtUYL/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG027,N3,E3,1EM,1,Geografia,EM13CHS103,"hipóteses, evidências, dados qualitativos e quantitativos, mapas, tabelas e fontes",FORTE,"Plano de Curso Geografia 1º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1s-ficwgJifek1kDLsgCqMdN1kIBE1sjS/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG028,N3,E3,1EM,1,Geografia,EM13CHS106,"linguagens cartográficas, gráficas e digitais, escalas e protagonismo",FORTE,"Plano de Curso Geografia 1º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1s-ficwgJifek1kDLsgCqMdN1kIBE1sjS/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG029,N3,E4,2EM,2,Geografia,EM13CHS301,"resíduos, produção, descarte, sustentabilidade socioambiental e propostas de ação",FORTE,"Plano de Curso Geografia 2º Ano EM 2026 - 2º trimestre","https://drive.google.com/file/d/1sarrISpqbx_kL__2hc4N-Phy-3tYSpGa/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG030,N3,E4,2EM,2,Geografia,EM13CHS302,"impactos econômicos e socioambientais de cadeias produtivas e compromisso com sustentabilidade",COMPLEMENTAR,"Plano de Curso Geografia 2º Ano EM 2026 - 2º trimestre","https://drive.google.com/file/d/1sarrISpqbx_kL__2hc4N-Phy-3tYSpGa/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG031,N3,E5,2EM,1,Geografia,EM13CHS605,"fragilidade social e territorial, violações de direitos e ações concretas",FORTE,"Plano de Curso Geografia 2º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1gI1PRGixv47Qza5gzwqP1_zB_v9bBCbP/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG032,N3,E5,2EM,1,Geografia,EM13CHS606,"indicadores socioeconômicos, desigualdade urbana e proposição de medidas",FORTE,"Plano de Curso Geografia 2º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1gI1PRGixv47Qza5gzwqP1_zB_v9bBCbP/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG033,N3,E6,3EM,2,Geografia,EM13CHS603,"Estado, poder, formas e sistemas de governo e soberania aplicados à análise política",FORTE,"Plano de Curso Geografia 3º Ano EM 2026 - 2º trimestre","https://drive.google.com/file/d/1QrTcwd-01r4GJSEdb9Vza3OYX-cdi3OE/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG034,N3,E7,3EM,2,Geografia,EM13CHS603,"conceitos políticos e participação qualificada no debate público",COMPLEMENTAR,"Plano de Curso Geografia 3º Ano EM 2026 - 2º trimestre","https://drive.google.com/file/d/1QrTcwd-01r4GJSEdb9Vza3OYX-cdi3OE/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG035,N3,E7,2EM,2,Geografia,EM13CHS602,"organização e articulação social em defesa da autonomia, liberdade, diálogo e cidadania",FORTE,"Plano de Curso Geografia 2º Ano EM 2026 - 2º trimestre","https://drive.google.com/file/d/1sarrISpqbx_kL__2hc4N-Phy-3tYSpGa/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG036,N3,E8,1EM,1,Geografia,EM13CHS103,"produção de hipótese, evidência e argumento",INTEGRADORA,"Plano de Curso Geografia 1º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1s-ficwgJifek1kDLsgCqMdN1kIBE1sjS/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG037,N3,E8,2EM,1,Geografia,EM13CHS606,"análise de problemas com documentos e proposição de medidas",INTEGRADORA,"Plano de Curso Geografia 2º Ano EM 2026 - 1º trimestre","https://drive.google.com/file/d/1gI1PRGixv47Qza5gzwqP1_zB_v9bBCbP/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
MG038,N3,E8,3EM,2,Geografia,EM13CHS603,"compreensão política necessária ao encaminhamento e acompanhamento cidadão",INTEGRADORA,"Plano de Curso Geografia 3º Ano EM 2026 - 2º trimestre","https://drive.google.com/file/d/1QrTcwd-01r4GJSEdb9Vza3OYX-cdi3OE/view",2026-08-26,VERIFICADO_PLANO_CURSO_2026
